Predator,Month,Species,PreyCategory,PercentOccurrence,PercentNumber,PercentMass
Onki_Sep,Sep,Onki,Amphipoda: Americorophium sp.,85.71428571,40.48659467,38.15552123
Onki_Sep,Sep,Onki,Amphipoda: Eogammarus sp.,57.14285714,5.545390206,7.042178836
Onki_Sep,Sep,Onki,Diptera: Chironomidae,92.85714286,32.78605732,22.54459392
Onki_Sep,Sep,Onki,Hemiptera: Corixidae,21.42857143,1.617146859,1.947732825
Onki_Sep,Sep,Onki,Isopoda: Gnorimosphaeroma sp.,92.85714286,12.55586322,21.05268663
Onki_Sep,Sep,Onki,Mysidae: Neomysis mercedis,21.42857143,3.894557823,3.394638782
Onki_Sep,Sep,Onki,Other aquatics (non-insecta),14.28571429,0.397877984,0.154800588
Onki_Sep,Sep,Onki,Other insects,7.142857143,0.324675325,0.04702491
Onki_Sep,Sep,Onki,Terrestrial insects,50,2.268683884,4.567167843
Onmy_Sep,Sep,Onmy,Amphipoda: Americorophium sp.,67.85714286,16.46812955,11.15608809
Onmy_Sep,Sep,Onmy,Amphipoda: Eogammarus sp.,71.42857143,14.02120697,19.06725142
Onmy_Sep,Sep,Onmy,Diptera: Chironomidae,92.85714286,14.96826473,9.250413132
Onmy_Sep,Sep,Onmy,Isopoda: Gnorimosphaeroma sp.,89.28571429,29.50217803,31.55212815
Onmy_Sep,Sep,Onmy,Mysidae: Neomysis mercedis,67.85714286,19.43976694,18.06521927
Onmy_Sep,Sep,Onmy,Other aquatics (non-insecta),60.71428571,3.599631905,7.478272826
Onmy_Sep,Sep,Onmy,Other insects,35.71428571,1.070821832,2.48696076
Onmy_Sep,Sep,Onmy,Terrestrial insects,14.28571429,0.930000038,0.943666352
